YEAR,LOC,STATE,COUNTY_CITY,BRAND,NAME,PCODE,YIELD,WATER_REGIME,PAVG,MOIST,TW,DAYS
1994,ELD,KS,ELLIS,,13,1823,112,Dryland,91,11,58,69
1994,ELD,KS,ELLIS,,10,1495,112,Dryland,92,11,57,64
1994,ELD,KS,ELLIS,,28,1699,126,Dryland,103,11,57,63
1994,ELD,KS,ELLIS,,29,1862,129,Dryland,105,11,59,65
1994,ELD,KS,ELLIS,NORTHRUP KING,210,1727,116,Dryland,95,12,60,69
1994,ELD,KS,ELLIS,,30,1575,132,Dryland,108,11,60,63
1994,ELD,KS,ELLIS,,44,1834,130,Dryland,106,12,59,65
1994,ELD,KS,ELLIS,,45,1703,112,Dryland,92,11,59,63
1994,ELD,KS,ELLIS,MAYGOLD,39,1836,114,Dryland,93,11,59,63
1994,ELD,KS,ELLIS,GENETIC GIANT,R103,1590,121,Dryland,99,11,59,65
1994,ELD,KS,ELLIS,,75,1791,97,Dryland,79,11,58,65
1994,ELD,KS,ELLIS,,76,1708,143,Dryland,117,12,59,69
1994,ELD,KS,ELLIS,,15,1695,134,Dryland,110,11,58,77
1994,ELD,KS,ELLIS,FRONTIER,411,1781,114,Dryland,93,11,59,64
1994,ELD,KS,ELLIS,,89,1407,129,Dryland,105,11,59,65
1994,ELD,KS,ELLIS,HORIZON,78,1534,128,Dryland,105,11,58,64
1994,ELD,KS,ELLIS,,43,1503,110,Dryland,90,11,60,64
1994,RND,KS,RENO,,134,1857,90,Dryland,106,18,57,68
1994,ELD,KS,ELLIS,,64,1809,128,Dryland,104,11,59,72
1994,ELD,KS,ELLIS,PFISTER,PAG 515,1579,127,Dryland,104,12,60,66
1994,STD,KS,STAFFORD,,11,1264,97,Dryland,114,16,56,62
1994,STD,KS,STAFFORD,,88,1844,93,Dryland,110,17,52,57
1994,RND,KS,RENO,MIDLAND VAR,,1436,87,Dryland,103,14,59,57
1994,RND,KS,RENO,DELTAPINE,G-777W,1822,79,Dryland,94,13,60,57
1994,HVD,KS,HARVEY,PAYMASTER,Apache,1256,93,Dryland,97,11,57,63
1994,ELD,KS,ELLIS,,27,1831,109,Dryland,89,11,60,68
1994,ELD,KS,ELLIS,,31,1206,130,Dryland,106,12,60,69
1994,ELD,KS,ELLIS,,46,1704,140,Dryland,115,12,59,71
1994,ELD,KS,ELLIS,MYCOGEN,991 Exp,1706,129,Dryland,105,11,58,71
1994,ELD,KS,ELLIS,,53,1837,146,Dryland,119,12,58,80
1994,ELD,KS,ELLIS,LINDSEY,788,1755,103,Dryland,84,12,58,71
1994,ELD,KS,ELLIS,,54,1838,138,Dryland,113,12,58,79
1994,ELD,KS,ELLIS,KANSAS,KS 701,1842,91,Dryland,74,11,58,64
1994,ELD,KS,ELLIS,,84,1782,110,Dryland,89,11,59,65
1994,ELD,KS,ELLIS,,98,1535,111,Dryland,91,12,60,64
1994,ELD,KS,ELLIS,,100,1662,116,Dryland,95,12,59,63
1994,ELD,KS,ELLIS,,26,1830,101,Dryland,83,11,60,64
1994,ELD,KS,ELLIS,ASGROW,Red RaiderA,1666,123,Dryland,100,11,58,72
1994,ELD,KS,ELLIS,PAYMASTER,Comanche,1820,98,Dryland,80,12,59,65
1994,ELD,KS,ELLIS,PAYMASTER,Kiowa,1033,116,Dryland,95,11,57,60
1994,ELD,KS,ELLIS,,149,1860,130,Dryland,106,12,58,75
1994,ELD,KS,ELLIS,MARTIN VAR,,1446,126,Dryland,103,12,59,68
1994,ELD,KS,ELLIS,,60,1840,125,Dryland,102,12,59,70
1994,RND,KS,RENO,,124,1854,85,Dryland,101,13,58,64
1994,RND,KS,RENO,,10,1495,76,Dryland,90,15,56,58
1994,RND,KS,RENO,,8,1774,95,Dryland,113,13,58,64
1994,THD,KS,THOMAS,NORTHRUP KING,222,1859,122,Dryland,96,14,58,59
1994,THD,KS,THOMAS,FRONTIER,413,1762,133,Dryland,105,16,60,66
1994,THD,KS,THOMAS,,129,1856,120,Dryland,94,14,59,62
1994,THD,KS,THOMAS,,128,1683,116,Dryland,92,15,56,62
1994,THD,KS,THOMAS,PFISTER,PAG 665,1612,137,Dryland,107,14,60,60
1994,THD,KS,THOMAS,,117,1613,137,Dryland,107,15,59,60
1994,THD,KS,THOMAS,,107,1798,126,Dryland,99,15,61,65
1994,THD,KS,THOMAS,,106,1797,145,Dryland,114,15,60,69
1994,THD,KS,THOMAS,HORIZON,78,1534,117,Dryland,92,15,60,64
1994,THD,KS,THOMAS,,89,1407,145,Dryland,114,15,60,67
1994,THD,KS,THOMAS,,146,1255,132,Dryland,104,15,59,63
1994,THD,KS,THOMAS,FRONTIER,411,1781,121,Dryland,95,15,60,63
1994,THD,KS,THOMAS,,76,1708,134,Dryland,105,15,60,67
1994,THD,KS,THOMAS,,75,1791,135,Dryland,106,15,59,64
1994,THD,KS,THOMAS,,56,1839,134,Dryland,105,16,59,69
1994,THD,KS,THOMAS,GENETIC GIANT,R103,1590,133,Dryland,105,15,59,73
1994,THD,KS,THOMAS,,45,1703,125,Dryland,98,15,60,66
1994,THD,KS,THOMAS,,30,1575,137,Dryland,107,15,60,66
1994,THD,KS,THOMAS,,29,1862,142,Dryland,112,15,59,67
1994,THD,KS,THOMAS,,28,1699,121,Dryland,95,14,59,63
1994,THD,KS,THOMAS,,10,1495,134,Dryland,105,15,59,66
1994,THD,KS,THOMAS,MIDLAND VAR,,1436,141,Dryland,111,15,60,67
1994,THD,KS,THOMAS,,13,1823,140,Dryland,110,16,59,72
1994,FNI,KS,FINNEY,,142,1687,113,Irrigated,80,13,58,68
1994,THD,KS,THOMAS,,88,1844,148,Dryland,116,16,59,70
1994,GRD,KS,GREELEY,,13,1823,79,Dryland,109,14,56,84
1994,FND,KS,FINNEY,,100,1662,78,Dryland,96,13,57,64
1994,FND,KS,FINNEY,,84,1782,73,Dryland,91,13,57,60
1994,FND,KS,FINNEY,,31,1206,98,Dryland,121,14,59,68
1994,FND,KS,FINNEY,,27,1831,79,Dryland,99,13,58,63
1994,FND,KS,FINNEY,,26,1830,64,Dryland,79,13,58,61
1994,FND,KS,FINNEY,,20,1496,101,Dryland,126,14,58,64
1994,FND,KS,FINNEY,,15,1695,86,Dryland,108,14,57,74
1994,FND,KS,FINNEY,,13,1823,91,Dryland,113,13,58,61
1994,FND,KS,FINNEY,,11,1264,85,Dryland,106,14,59,73
1994,FND,KS,FINNEY,,88,1844,70,Dryland,87,12,54,59
1994,FND,KS,FINNEY,PFISTER,PAG 515,1579,86,Dryland,106,14,58,64
1994,FND,KS,FINNEY,,146,1255,59,Dryland,73,12,53,59
1994,FND,KS,FINNEY,FRONTIER,413,1762,70,Dryland,87,13,57,62
1994,FND,KS,FINNEY,,129,1856,64,Dryland,80,13,57,57
1994,FND,KS,FINNEY,PFISTER,PAG 665,1612,74,Dryland,92,13,54,56
1994,FND,KS,FINNEY,,117,1613,87,Dryland,108,13,57,56
1994,FND,KS,FINNEY,,107,1798,68,Dryland,85,12,56,60
1994,FND,KS,FINNEY,,106,1797,84,Dryland,105,13,57,62
1994,FND,KS,FINNEY,FRONTIER,400D,1847,64,Dryland,80,13,57,63
1994,FND,KS,FINNEY,HORIZON,79,1742,77,Dryland,95,13,57,59
1994,FND,KS,FINNEY,HORIZON,78,1534,70,Dryland,87,12,56,59
1994,GRD,KS,GREELEY,,18,1825,72,Dryland,100,13,59,77
1994,FND,KS,FINNEY,NORTHRUP KING,222,1859,60,Dryland,75,12,55,54
1994,ELD,KS,ELLIS,HORIZON,79,1742,110,Dryland,90,11,58,64
1994,RND,KS,RENO,,54,1838,89,Dryland,106,19,49,72
1994,RND,KS,RENO,,84,1782,82,Dryland,97,15,58,58
1994,RND,KS,RENO,MAYGOLD,39,1836,73,Dryland,87,13,58,56
1994,RND,KS,RENO,,76,1708,88,Dryland,104,14,58,58
1994,RND,KS,RENO,FRONTIER,411,1781,76,Dryland,90,13,58,56
1994,RND,KS,RENO,,88,1844,84,Dryland,100,14,58,57
1994,RND,KS,RENO,,106,1797,81,Dryland,97,13,59,57
1994,RND,KS,RENO,,107,1798,82,Dryland,97,14,59,57
1994,RND,KS,RENO,MYCOGEN,66,1852,85,Dryland,101,14,57,57
1994,RND,KS,RENO,FRONTIER,413,1762,92,Dryland,109,15,59,60
1994,RND,KS,RENO,NORTHRUP KING,222,1859,88,Dryland,104,14,55,56
1994,RND,KS,RENO,,110,1743,80,Dryland,96,14,59,61
1994,RND,KS,RENO,,45,1703,84,Dryland,100,13,58,57
1994,RND,KS,RENO,,146,1255,79,Dryland,94,13,58,56
1994,RND,KS,RENO,,12,1775,79,Dryland,94,14,56,59
1994,RND,KS,RENO,,13,1823,92,Dryland,109,14,58,58
1994,RND,KS,RENO,,15,1695,75,Dryland,89,13,57,61
1994,RND,KS,RENO,,19,1636,91,Dryland,108,13,58,61
1994,RND,KS,RENO,,20,1496,92,Dryland,110,14,57,58
1994,RND,KS,RENO,,23,1827,90,Dryland,107,14,58,58
1994,RND,KS,RENO,,24,1828,78,Dryland,92,14,57,60
1994,RND,KS,RENO,,26,1830,87,Dryland,104,13,60,58
1994,RND,KS,RENO,,27,1831,85,Dryland,101,13,59,57
1994,RND,KS,RENO,,40,1833,91,Dryland,108,14,59,60
1994,RND,KS,RENO,,11,1264,90,Dryland,106,15,57,59
1994,RND,KS,RENO,,78,1710,75,Dryland,89,17,53,65
1994,RND,KS,RENO,,29,1862,74,Dryland,87,14,57,58
1994,RND,KS,RENO,,46,1704,91,Dryland,108,16,56,60
1994,RND,KS,RENO,,91,1846,97,Dryland,115,14,60,59
1994,RND,KS,RENO,,99,1300,84,Dryland,99,13,59,59
1994,RND,KS,RENO,,100,1662,80,Dryland,95,14,59,57
1994,RND,KS,RENO,,120,1477,100,Dryland,118,14,59,59
1994,RND,KS,RENO,ROYAL,RP-110,1748,95,Dryland,113,15,58,57
1994,RND,KS,RENO,PAYMASTER,Comanche,1820,81,Dryland,97,14,58,56
1994,RND,KS,RENO,PAYMASTER,Kiowa,1033,75,Dryland,89,14,56,57
1994,RND,KS,RENO,,53,1837,65,Dryland,77,19,48,71
1994,RND,KS,RENO,,149,1860,86,Dryland,103,14,58,58
1994,RND,KS,RENO,MARTIN VAR,,1446,82,Dryland,97,13,58,62
1994,RND,KS,RENO,,41,1155,80,Dryland,94,13,58,58
1994,RND,KS,RENO,,25,1829,78,Dryland,93,13,59,61
1994,RND,KS,RENO,,36,1576,80,Dryland,95,14,57,66
1994,RND,KS,RENO,PFISTER,PAG 515,1579,96,Dryland,114,15,58,61
1994,RND,KS,RENO,DEKALB,F-63,1790,81,Dryland,96,14,58,60
1994,RND,KS,RENO,,85,1732,75,Dryland,89,15,58,61
1994,RND,KS,RENO,,87,1731,80,Dryland,95,13,58,61
1994,RND,KS,RENO,,101,1533,80,Dryland,95,14,58,57
1994,RND,KS,RENO,,102,1468,76,Dryland,91,14,58,61
1994,RND,KS,RENO,FRONTIER,410-E,1796,77,Dryland,91,13,57,61
1994,RND,KS,RENO,,5,1632,72,Dryland,85,12,59,66
1994,RND,KS,RENO,MYCOGEN,991 Exp,1706,92,Dryland,109,14,58,62
1994,RND,KS,RENO,PUBLIC,RS 610,1777,82,Dryland,97,13,58,61
1994,FND,KS,FINNEY,,120,1477,89,Dryland,110,13,58,62
1994,ELD,KS,ELLIS,,106,1797,141,Dryland,115,11,60,65
1994,ELD,KS,ELLIS,,129,1856,113,Dryland,92,11,59,63
1994,FNI,KS,FINNEY,KANSAS,KS 651,1786,163,Irrigated,116,13,61,70
1994,FNI,KS,FINNEY,DEKALB,F-63,1790,141,Irrigated,100,13,60,70
1994,FNI,KS,FINNEY,,86,1843,143,Irrigated,101,13,59,72
1994,FNI,KS,FINNEY,,35,1832,174,Irrigated,123,12,59,69
1994,FNI,KS,FINNEY,,87,1731,134,Irrigated,95,13,58,65
1994,FNI,KS,FINNEY,FRONTIER,410-E,1796,142,Irrigated,101,13,59,65
1994,FNI,KS,FINNEY,,124,1854,138,Irrigated,98,13,60,70
1994,FNI,KS,FINNEY,,125,1805,162,Irrigated,115,13,60,67
1994,FNI,KS,FINNEY,,127,1804,148,Irrigated,105,14,60,73
1994,FNI,KS,FINNEY,,132,1554,142,Irrigated,101,13,60,67
1994,FNI,KS,FINNEY,DEKALB,C-44b,1523,144,Irrigated,103,13,60,67
1994,FNI,KS,FINNEY,,133,1814,140,Irrigated,99,13,60,72
1994,FNI,KS,FINNEY,,135,1858,146,Irrigated,104,13,59,71
1994,FNI,KS,FINNEY,,144,1818,140,Irrigated,100,13,60,67
1994,FNI,KS,FINNEY,,150,1861,150,Irrigated,106,13,60,71
1994,FNI,KS,FINNEY,PAYMASTER,Apache,1256,142,Irrigated,101,13,59,70
1994,FNI,KS,FINNEY,,95,1741,136,Irrigated,97,13,59,68
1994,GRI,KS,GREELEY,PFISTER,PAG 515,1579,148,Irrigated,102,14,60,68
1994,FNI,KS,FINNEY,,34,1778,150,Irrigated,107,13,60,70
1994,FNI,KS,FINNEY,,21,1497,169,Irrigated,120,13,60,69
1994,GRI,KS,GREELEY,KANSAS,KS 651,1786,175,Irrigated,120,17,59,83
1994,GRI,KS,GREELEY,,87,1731,152,Irrigated,104,15,58,79
1994,FNI,KS,FINNEY,,134,1857,145,Irrigated,103,13,60,68
1994,GRI,KS,GREELEY,,124,1854,147,Irrigated,101,16,60,79
1994,FNI,KS,FINNEY,,65,1758,126,Irrigated,90,13,59,74
1994,FNI,KS,FINNEY,,59,1591,149,Irrigated,106,13,60,69
1994,THI,KS,THOMAS,NORTHRUP KING,222,1859,139,Irrigated,84,13,58,61
1994,THI,KS,THOMAS,,36,1576,176,Irrigated,106,14,60,73
1994,THI,KS,THOMAS,,146,1255,154,Irrigated,93,13,60,65
1994,THI,KS,THOMAS,,15,1695,173,Irrigated,105,14,58,75
1994,THI,KS,THOMAS,,20,1496,186,Irrigated,113,14,59,73
1994,THI,KS,THOMAS,,32,1379,173,Irrigated,105,13,60,69
1994,THI,KS,THOMAS,,46,1704,168,Irrigated,102,14,60,72
1994,THI,KS,THOMAS,,98,1535,140,Irrigated,84,13,60,64
1994,THI,KS,THOMAS,ROYAL,RP-110,1748,146,Irrigated,88,13,60,65
1994,THI,KS,THOMAS,PAYMASTER,Comanche,1820,154,Irrigated,93,13,59,70
1994,FNI,KS,FINNEY,LINDSEY,788,1755,137,Irrigated,97,13,60,71
1994,THI,KS,THOMAS,PAYMASTER,Kiowa,1033,129,Irrigated,78,13,59,58
1994,THI,KS,THOMAS,PUBLIC,RS 610,1777,168,Irrigated,101,14,59,76
1994,THI,KS,THOMAS,,34,1778,172,Irrigated,104,14,59,72
1994,THI,KS,THOMAS,,8,1774,205,Irrigated,124,14,59,78
1994,FND,KS,FINNEY,KANSAS,KS 651,1786,92,Dryland,114,15,59,75
1994,GRI,KS,GREELEY,,37,1011,158,Irrigated,108,17,57,84
1994,GRI,KS,GREELEY,DEKALB,C-44b,1523,147,Irrigated,101,15,60,78
1994,FNI,KS,FINNEY,,36,1576,156,Irrigated,111,13,60,69
1994,FNI,KS,FINNEY,,37,1011,145,Irrigated,103,13,58,72
1994,FNI,KS,FINNEY,,38,1378,160,Irrigated,114,13,60,72
1994,FNI,KS,FINNEY,PFISTER,PAG 515,1579,147,Irrigated,104,13,59,64
1994,THI,KS,THOMAS,,149,1860,161,Irrigated,97,14,59,74
1994,THI,KS,THOMAS,,88,1844,155,Irrigated,93,14,59,71
1994,GRI,KS,GREELEY,,125,1805,155,Irrigated,107,15,59,79
1994,GRI,KS,GREELEY,PAYMASTER,Apache,1256,161,Irrigated,111,15,59,80
1994,THD,KS,THOMAS,,149,1860,129,Dryland,101,17,59,77
1994,THD,KS,THOMAS,,150,1861,112,Dryland,88,18,58,81
1994,THD,KS,THOMAS,PAYMASTER,Apache,1256,129,Dryland,102,17,59,79
1994,GRD,KS,GREELEY,PRIDE OF SALINE,OP,1821,65,Dryland,90,13,58,69
1994,GRD,KS,GREELEY,DELTAPINE,G-777W,1822,84,Dryland,116,15,58,84
1994,GRD,KS,GREELEY,,10,1495,69,Dryland,96,13,57,75
1994,GRD,KS,GREELEY,,28,1699,85,Dryland,118,13,58,73
1994,THD,KS,THOMAS,,19,1636,120,Dryland,95,15,59,69
1994,GRD,KS,GREELEY,,29,1862,73,Dryland,102,13,59,76
1994,GRD,KS,GREELEY,,45,1703,76,Dryland,105,13,58,78
1994,THD,KS,THOMAS,PAYMASTER,Kiowa,1033,112,Dryland,88,14,58,62
1994,GRD,KS,GREELEY,,75,1791,79,Dryland,109,13,58,77
1994,GRD,KS,GREELEY,FRONTIER,400D,1847,77,Dryland,107,14,58,82
1994,GRD,KS,GREELEY,,107,1798,78,Dryland,108,13,59,76
1994,GRD,KS,GREELEY,,117,1613,77,Dryland,107,13,58,70
1994,GRD,KS,GREELEY,PFISTER,PAG 665,1612,82,Dryland,113,13,58,71
1994,GRD,KS,GREELEY,,129,1856,60,Dryland,83,13,58,73
1994,GRD,KS,GREELEY,NORTHRUP KING,222,1859,66,Dryland,92,13,56,70
1994,GRD,KS,GREELEY,,146,1255,69,Dryland,96,13,58,75
1994,GRD,KS,GREELEY,,11,1264,75,Dryland,104,15,58,89
1994,GRD,KS,GREELEY,,30,1575,77,Dryland,107,14,60,76
1994,GRD,KS,GREELEY,,12,1775,68,Dryland,95,16,54,93
1994,GRD,KS,GREELEY,,80,1671,55,Dryland,77,13,58,68
1994,GRI,KS,GREELEY,,150,1861,175,Irrigated,120,17,59,84
1994,THD,KS,THOMAS,PAYMASTER,Comanche,1820,125,Dryland,98,15,59,70
1994,THD,KS,THOMAS,,84,1782,118,Dryland,93,15,61,65
1994,FNI,KS,FINNEY,,89,1407,131,Irrigated,93,12,59,63
1994,FNI,KS,FINNEY,FRONTIER,413,1762,142,Irrigated,101,13,60,63
1994,FNI,KS,FINNEY,NORTHRUP KING,222,1859,118,Irrigated,84,13,56,54
1994,FNI,KS,FINNEY,,146,1255,109,Irrigated,77,13,58,60
1994,FNI,KS,FINNEY,WESTLAND VAR,,1251,147,Irrigated,105,13,60,66
1994,FNI,KS,FINNEY,PUBLIC,RS 610,1777,136,Irrigated,96,13,58,69
1994,FNI,KS,FINNEY,,8,1774,160,Irrigated,114,13,60,68
1994,FNI,KS,FINNEY,,32,1379,138,Irrigated,98,13,59,66
1994,FNI,KS,FINNEY,,60,1840,135,Irrigated,96,13,60,68
1994,FNI,KS,FINNEY,,77,1582,149,Irrigated,106,13,59,67
1994,THD,KS,THOMAS,,100,1662,130,Dryland,103,15,60,66
1994,FNI,KS,FINNEY,,91,1846,147,Irrigated,104,13,59,66
1994,FNI,KS,FINNEY,,143,1689,152,Irrigated,108,13,59,64
1994,FNI,KS,FINNEY,PAYMASTER,Comanche,1820,116,Irrigated,82,13,58,63
1994,FNI,KS,FINNEY,PAYMASTER,Kiowa,1033,112,Irrigated,80,12,57,58
1994,FNI,KS,FINNEY,,149,1860,125,Irrigated,89,13,58,67
1994,FNI,KS,FINNEY,,5,1632,135,Irrigated,96,13,61,73
1994,FNI,KS,FINNEY,MARTIN VAR,,1446,127,Irrigated,90,13,59,65
1994,FNI,KS,FINNEY,,15,1695,135,Irrigated,96,13,58,69
1994,ELD,KS,ELLIS,MIDLAND VAR,,1436,128,Dryland,105,12,60,65
1994,FND,KS,FINNEY,DEKALB,C-44b,1523,104,Dryland,129,14,59,71
1994,FND,KS,FINNEY,,149,1860,83,Dryland,103,14,57,70
1994,FNI,KS,FINNEY,,98,1535,131,Irrigated,93,12,59,60
1994,ELD,KS,ELLIS,,107,1798,127,Dryland,103,11,60,65
1994,THI,KS,THOMAS,GENETIC GIANT,R103,1590,163,Irrigated,98,13,60,70
1994,FND,KS,FINNEY,PAYMASTER,Apache,1256,88,Dryland,110,15,58,72
1994,HVD,KS,HARVEY,,101,1533,92,Dryland,96,11,57,62
1994,HVD,KS,HARVEY,FRONTIER,410-E,1796,93,Dryland,97,11,57,61
1994,HVD,KS,HARVEY,,109,1667,117,Dryland,122,13,59,63
1994,HVD,KS,HARVEY,,110,1743,97,Dryland,101,12,59,63
1994,HVD,KS,HARVEY,,138,1816,82,Dryland,86,11,58,62
1994,HVD,KS,HARVEY,ASGROW,Redhead,1765,91,Dryland,95,11,57,60
1994,HVD,KS,HARVEY,,150,1861,96,Dryland,101,11,59,64
1994,HVD,KS,HARVEY,NORTHRUP KING,210,1727,84,Dryland,88,11,59,60
1994,HVD,KS,HARVEY,ROYAL,RP-110,1748,105,Dryland,109,11,59,57
1994,HVD,KS,HARVEY,,120,1477,105,Dryland,109,11,59,58
1994,HVD,KS,HARVEY,,87,1731,93,Dryland,97,11,59,61
1994,HVD,KS,HARVEY,ASGROW,Red RaiderA,1666,114,Dryland,119,11,58,62
1994,HVD,KS,HARVEY,,29,1862,97,Dryland,101,17,57,59
1994,HVD,KS,HARVEY,,30,1575,108,Dryland,113,19,57,58
1994,HVD,KS,HARVEY,,39,1640,96,Dryland,101,16,56,56
1994,HVD,KS,HARVEY,,45,1703,112,Dryland,117,15,57,57
1994,HVD,KS,HARVEY,,76,1708,110,Dryland,115,17,58,60
1994,HVD,KS,HARVEY,,106,1797,119,Dryland,124,16,58,57
1994,HVD,KS,HARVEY,,107,1798,96,Dryland,100,18,57,60
1994,HVD,KS,HARVEY,MYCOGEN,66,1852,116,Dryland,121,16,56,57
1994,HVD,KS,HARVEY,NORTHRUP KING,222,1859,95,Dryland,99,15,55,52
1994,HVD,KS,HARVEY,,146,1255,98,Dryland,102,15,56,57
1994,HVD,KS,HARVEY,,10,1495,95,Dryland,99,16,56,59
1994,HVD,KS,HARVEY,,11,1264,97,Dryland,102,12,58,64
1994,HVD,KS,HARVEY,,85,1732,100,Dryland,104,12,59,62
1994,HVD,KS,HARVEY,,69,1331,83,Dryland,87,12,58,62
1994,ELD,KS,ELLIS,NORTHRUP KING,222,1859,122,Dryland,100,11,57,57
1994,ELD,KS,ELLIS,,146,1255,132,Dryland,108,11,58,63
1994,ELD,KS,ELLIS,PUBLIC,RS 650,1562,138,Dryland,112,13,59,77
1994,ELD,KS,ELLIS,,11,1264,138,Dryland,113,12,59,74
1994,ELD,KS,ELLIS,,12,1775,138,Dryland,112,11,57,72
1994,ELD,KS,ELLIS,,88,1844,138,Dryland,112,12,59,65
1994,ELD,KS,ELLIS,,150,1861,118,Dryland,96,12,60,79
1994,ELD,KS,ELLIS,PAYMASTER,Apache,1256,131,Dryland,107,12,59,72
1994,HVD,KS,HARVEY,DELTAPINE,G-777W,1822,108,Dryland,113,17,58,57
1994,HVD,KS,HARVEY,,137,1764,95,Dryland,99,12,56,63
1994,STD,KS,STAFFORD,PAYMASTER,Apache,1256,102,Dryland,119,17,54,62
1994,HVD,KS,HARVEY,PAYMASTER,Comanche,1820,70,Dryland,73,11,59,58
1994,HVD,KS,HARVEY,,149,1860,106,Dryland,110,11,58,61
1994,HVD,KS,HARVEY,,5,1632,86,Dryland,90,11,58,64
