YEAR,LOC,BRAND,NAME,YIELD,DAYS,COUNTY,WATER_REGIME
1999,GRDO,Dekalb,DK 3790,2244.75,57.75,GREELEY,Dryland
1999,GRDO,Dekalb,DK 3806,2694.75,57.75,GREELEY,Dryland
1999,GRDO,Dekalb,DK 3868,2629.75,58.75,GREELEY,Dryland
1999,GRDO,Dekalb,DK 3872NS,1229.0,62.25,GREELEY,Dryland
1999,GRDO,Dekalb,DK 3875,3101.5,59.75,GREELEY,Dryland
1999,GRDO,Dekalb,DK 3881,2781.25,60.0,GREELEY,Dryland
1999,GRDO,Dekalb,DK 3900,2481.5,61.75,GREELEY,Dryland
1999,GRDO,Interstate Seed,HYSUN 449,2781.0,60.25,GREELEY,Dryland
1999,GRDO,Triumph Seed Co.,TRIUMPH 545,3023.5,58.75,GREELEY,Dryland
1999,GRDO,Triumph Seed Co.,TRIUMPH 562,3063.0,59.25,GREELEY,Dryland
1999,GRDO,Triumph Seed Co.,TRIUMPH 540,2460.75,56.75,GREELEY,Dryland
1999,GRDO,Interstate Seed,HYSUN 450,2230.75,62.0,GREELEY,Dryland
1999,GRDO,Kaystar Seed,9501,2369.0,62.75,GREELEY,Dryland
1999,GRDO,Interstate Seed,IS 4049,2656.75,61.5,GREELEY,Dryland
1999,GRDO,Interstate Seed,IS 6767,2828.5,59.25,GREELEY,Dryland
1999,GRDO,Interstate Seed,ST 2126,1949.0,61.5,GREELEY,Dryland
1999,GRDO,Interstate Seed,ST 2135,1996.0,65.5,GREELEY,Dryland
1999,GRDO,SEEDS 2000,MAVERICK,1830.5,58.25,GREELEY,Dryland
1999,GRDO,Kaystar Seed,9404,2917.75,57.75,GREELEY,Dryland
1999,GRDO,Interstate Seed,K 41978,2469.0,60.5,GREELEY,Dryland
1999,GRDO,Mycogen Seed,8372,2391.25,57.5,GREELEY,Dryland
1999,GRDO,Mycogen Seed,8377NS,2409.25,57.0,GREELEY,Dryland
1999,GRDO,Pioneer Hi-Bred Int.,6451,2312.0,59.75,GREELEY,Dryland
1999,GRDO,Mycogen Seed,8488NS,2153.0,60.5,GREELEY,Dryland
1999,GRDO,Novartis Seeds,NK Brand 231,2338.25,58.0,GREELEY,Dryland
1999,GRDO,Novartis Seeds,NK Brand 278,2163.25,59.75,GREELEY,Dryland
1999,GRDO,Novartis Seeds,NX 12827,2671.75,58.0,GREELEY,Dryland
1999,GRDO,Pioneer Hi-Bred Int.,6300,1939.25,57.5,GREELEY,Dryland
1999,GRDO,Pioneer Hi-Bred Int.,63A81,2109.5,61.25,GREELEY,Dryland
1999,GRDO,Pioneer Hi-Bred Int.,63M91,1807.75,58.0,GREELEY,Dryland
1999,GRDO,Mycogen Seed,8468,2137.0,59.75,GREELEY,Dryland
1999,GRDO,Interstate Seed,ST 971136NS,1765.75,59.75,GREELEY,Dryland
1999,GRDO,SEEDS 2000,BRONCO,2398.5,61.25,GREELEY,Dryland
1999,RNDC,Interstate Seed,IS 8048,1095.25,53.25,RENO,Dryland
1999,RNDC,Triumph Seed Co.,TRIUMPH 765C,1160.25,54.75,RENO,Dryland
1999,RNDC,Triumph Seed Co.,TRIUMPH 766CRT,1368.75,54.25,RENO,Dryland
1999,RNDO,Cargill,SF 187,1142.75,56.5,RENO,Dryland
1999,RNDO,Cargill,SF 260,1244.5,55.25,RENO,Dryland
1999,RNDO,Cargill,SF 270,2027.75,53.5,RENO,Dryland
1999,RNDO,Cargill,SF 290NL,1600.0,56.5,RENO,Dryland
1999,RNDO,Interstate Seed,HYSUN 449,1749.25,58.5,RENO,Dryland
1999,RNDO,Cargill,SF 125NL,1533.25,53.0,RENO,Dryland
1999,RNDO,Interstate Seed,HYSUN 450,1494.0,59.0,RENO,Dryland
1999,RNDO,Cargill,SF 120,1483.0,52.5,RENO,Dryland
1999,RNDO,Agripro Seeds Inc.,ST X2135,959.5,60.0,RENO,Dryland
1999,RNDO,Triumph Seed Co.,TRIUMPH 562,1980.25,54.75,RENO,Dryland
1999,RNDO,Mycogen Seed,8468,1534.5,56.5,RENO,Dryland
1999,RNDO,Triumph Seed Co.,TRIUMPH 573,1952.0,58.5,RENO,Dryland
1999,RNDO,Triumph Seed Co.,TRIUMPH 545,1675.5,54.5,RENO,Dryland
1999,RNDO,Triumph Seed Co.,TRIUMPH 540,1545.5,53.25,RENO,Dryland
1999,RNDO,Pioneer Hi-Bred Int.,6451,1670.75,54.75,RENO,Dryland
1999,RNDO,Pioneer Hi-Bred Int.,63M91,1537.0,55.0,RENO,Dryland
1999,RNDO,Pioneer Hi-Bred Int.,63A70,1649.25,52.5,RENO,Dryland
1999,RNDO,Mycogen Seed,8372,1522.25,54.5,RENO,Dryland
1999,RNDO,Dekalb,DK 3900,1682.75,56.5,RENO,Dryland
1999,RNDO,Dekalb,DK 3881,1398.0,55.25,RENO,Dryland
1999,RNDO,Dekalb,DK 3875,1312.25,56.75,RENO,Dryland
1999,RNDO,Dekalb,DK 3872NS,1195.5,57.0,RENO,Dryland
1999,RNDO,Dekalb,DK 3868,1552.75,55.0,RENO,Dryland
1999,RNDO,Dekalb,DK 3806,1709.0,54.25,RENO,Dryland
1999,RNDO,Dekalb,DK 3790,1180.25,53.25,RENO,Dryland
1999,RNDO,Interstate Seed,IS 6767,1759.75,54.5,RENO,Dryland
1999,RNDO,Pioneer Hi-Bred Int.,63A81,1444.0,58.25,RENO,Dryland
1999,RNDO,Interstate Seed,IS 4049,1916.5,56.75,RENO,Dryland
1999,RPDO,Interstate Seed,HYSUN 449,3075.5,60.5,REPUBLIC,Dryland
1999,RPDO,Interstate Seed,HYSUN 450,2278.25,61.0,REPUBLIC,Dryland
1999,RPDO,Interstate Seed,IS 4049,2879.0,60.25,REPUBLIC,Dryland
1999,RPDO,Interstate Seed,IS 6767,2635.25,59.0,REPUBLIC,Dryland
1999,RPDO,Kaystar Seed,9501,3050.25,60.25,REPUBLIC,Dryland
1999,RPDO,Mycogen Seed,8372,2773.25,54.5,REPUBLIC,Dryland
1999,RPDO,Mycogen Seed,8468,3136.0,59.5,REPUBLIC,Dryland
1999,RPDO,Triumph Seed Co.,TRIUMPH 540,2377.5,53.75,REPUBLIC,Dryland
1999,RPDO,Triumph Seed Co.,TRIUMPH 545,2488.75,60.0,REPUBLIC,Dryland
1999,RPDO,Triumph Seed Co.,TRIUMPH 562,2755.5,59.75,REPUBLIC,Dryland
1999,RPDO,Dekalb,DK 3875,2618.0,59.75,REPUBLIC,Dryland
1999,RPDO,Dekalb,DK 3900,3246.5,60.5,REPUBLIC,Dryland
1999,RPDO,Dekalb,DK 3872NS,2498.5,61.0,REPUBLIC,Dryland
1999,RPDO,Dekalb,DK 3868,2529.0,55.0,REPUBLIC,Dryland
1999,RPDO,Dekalb,DK 3806,3018.25,57.25,REPUBLIC,Dryland
1999,RPDO,Dekalb,DK 3790,2994.0,54.0,REPUBLIC,Dryland
1999,RPDO,Dekalb,DK 3881,2558.5,58.5,REPUBLIC,Dryland
1999,RPDO,Cargill,SF 290NL,2429.5,59.75,REPUBLIC,Dryland
1999,RPDO,Cargill,SF 270,3226.25,53.75,REPUBLIC,Dryland
1999,RPDO,Cargill,SF 120,2696.5,57.0,REPUBLIC,Dryland
1999,RPDO,Cargill,SF 125NL,2136.75,57.5,REPUBLIC,Dryland
1999,RPDO,Cargill,SF 187,2981.75,60.5,REPUBLIC,Dryland
1999,RPDO,Cargill,SF 260,2566.5,60.25,REPUBLIC,Dryland
1999,THDC,Interstate Seed,IS 8048,2260.0,56.25,THOMAS,Dryland
1999,THDC,Red River Commodities,2213,2246.0,58.0,THOMAS,Dryland
1999,THDC,Red River Commodities,2331,2167.25,59.0,THOMAS,Dryland
1999,THDC,Red River Commodities,9490,2306.0,58.5,THOMAS,Dryland
1999,THDC,Red River Commodities,2412,2072.25,58.75,THOMAS,Dryland
1999,THDC,Red River Commodities,EX 2582,2532.75,57.75,THOMAS,Dryland
1999,THDC,Red River Commodities,EX 6182,2534.5,58.75,THOMAS,Dryland
1999,THDC,Red River Commodities,EX 6782,2524.25,58.0,THOMAS,Dryland
1999,THDC,Red River Commodities,2413,2040.75,59.0,THOMAS,Dryland
1999,THDC,Agway Inc.,ROYAL HYBRID 2373,2242.75,58.25,THOMAS,Dryland
1999,THDC,SEEDS 2000,KODIAK,2535.0,56.0,THOMAS,Dryland
1999,THDC,Triumph Seed Co.,TRIUMPH 520C,2438.5,58.5,THOMAS,Dryland
1999,THDC,Triumph Seed Co.,TRIUMPH 765C,2569.0,58.25,THOMAS,Dryland
1999,THDC,Agway Inc.,ROYAL HYBRID 2073,2549.25,58.0,THOMAS,Dryland
1999,THDC,,TAIL,1.0,1.0,THOMAS,Dryland
1999,THDC,Triumph Seed Co.,TRIUMPH 766CRT,2267.25,59.0,THOMAS,Dryland
1999,THDO,Agripro Seeds Inc.,AP 3470,3109.0,63.75,THOMAS,Dryland
1999,THDO,Agripro Seeds Inc.,ST X2135,2423.5,67.0,THOMAS,Dryland
1999,THDO,Agripro Seeds Inc.,AP 3430,2482.75,63.0,THOMAS,Dryland
1999,THDO,Triumph Seed Co.,TRIUMPH 540,2473.5,61.25,THOMAS,Dryland
1999,THDO,Mycogen Seed,8488NS,3011.0,64.0,THOMAS,Dryland
1999,THDO,Novartis Seeds,NK Brand 231,2628.5,64.0,THOMAS,Dryland
1999,THDO,Novartis Seeds,NK Brand 278,3220.0,64.0,THOMAS,Dryland
1999,THDO,Novartis Seeds,NX 12827,2994.25,62.25,THOMAS,Dryland
1999,THDO,Pioneer Hi-Bred Int.,6300,2689.25,62.75,THOMAS,Dryland
1999,THDO,Pioneer Hi-Bred Int.,63A81,2708.0,65.75,THOMAS,Dryland
1999,THDO,Pioneer Hi-Bred Int.,63M91,2693.0,63.75,THOMAS,Dryland
1999,THDO,Pioneer Hi-Bred Int.,6451,2637.25,64.75,THOMAS,Dryland
1999,THDO,SEEDS 2000,MAVERICK,2684.75,63.5,THOMAS,Dryland
1999,THDO,Mycogen Seed,8372,2426.5,62.0,THOMAS,Dryland
1999,THDO,Triumph Seed Co.,TRIUMPH 545,2493.75,62.75,THOMAS,Dryland
1999,THDO,Triumph Seed Co.,TRIUMPH 562,3119.25,64.0,THOMAS,Dryland
1999,THDO,Triumph Seed Co.,TRIUMPH 573,2569.25,66.0,THOMAS,Dryland
1999,THDO,Triumph Seed Co.,TRIUMPH TRX8232,2503.25,66.75,THOMAS,Dryland
1999,THDO,Triumph Seed Co.,TRIUMPH TRX8441NS,2833.75,65.0,THOMAS,Dryland
1999,THDO,SEEDS 2000,BRONCO,2399.75,65.0,THOMAS,Dryland
1999,THDO,Dekalb,DK 3875,2223.0,64.75,THOMAS,Dryland
1999,THDO,Cargill,SF 120,2473.25,62.25,THOMAS,Dryland
1999,THDO,Cargill,SF 125NL,2491.25,62.75,THOMAS,Dryland
1999,THDO,Cargill,SF 187,2849.0,65.0,THOMAS,Dryland
1999,THDO,Cargill,SF 260,2626.75,64.0,THOMAS,Dryland
1999,THDO,Cargill,SF 270,2664.5,62.0,THOMAS,Dryland
1999,THDO,Cargill,SF 290NL,2796.25,65.0,THOMAS,Dryland
1999,THDO,Dekalb,DK 3790,1981.75,62.0,THOMAS,Dryland
1999,THDO,Dekalb,DK 3806,2236.0,62.75,THOMAS,Dryland
1999,THDO,Mycogen Seed,8468,2996.5,64.0,THOMAS,Dryland
1999,THDO,Dekalb,DK 3872NS,2399.75,66.0,THOMAS,Dryland
1999,THDO,Mycogen Seed,8377NS,2550.0,61.5,THOMAS,Dryland
1999,THDO,Dekalb,DK 3881,2874.0,65.0,THOMAS,Dryland
1999,THDO,Dekalb,DK 3900,2764.75,65.75,THOMAS,Dryland
1999,THDO,Interstate Seed,HYSUN 449,2841.0,65.0,THOMAS,Dryland
1999,THDO,Interstate Seed,HYSUN 450,2166.5,65.25,THOMAS,Dryland
1999,THDO,Interstate Seed,IS 4049,2563.5,65.0,THOMAS,Dryland
1999,THDO,Interstate Seed,IS 6767,2621.5,64.0,THOMAS,Dryland
1999,THDO,Kaystar Seed,8806,2679.25,65.0,THOMAS,Dryland
1999,THDO,Kaystar Seed,9501,2865.75,65.5,THOMAS,Dryland
1999,THDO,Dekalb,DK 3868,2504.25,64.0,THOMAS,Dryland
1999,THIC,Triumph Seed Co.,TRIUMPH 765C,2735.0,60.75,THOMAS,Irrigated
1999,THIC,Interstate Seed,IS 8048,2192.75,59.5,THOMAS,Irrigated
1999,THIC,Red River Commodities,2213,2535.0,59.75,THOMAS,Irrigated
1999,THIC,Red River Commodities,2331,2310.5,61.0,THOMAS,Irrigated
1999,THIC,Red River Commodities,2412,2165.0,60.75,THOMAS,Irrigated
1999,THIC,Red River Commodities,2413,1970.75,61.25,THOMAS,Irrigated
1999,THIC,Red River Commodities,9490,2386.75,60.25,THOMAS,Irrigated
1999,THIC,Red River Commodities,EX 2582,2337.75,60.0,THOMAS,Irrigated
1999,THIC,Red River Commodities,EX 6182,2416.5,60.25,THOMAS,Irrigated
1999,THIC,Red River Commodities,EX 6782,2620.0,60.5,THOMAS,Irrigated
1999,THIC,SEEDS 2000,KODIAK,2183.0,59.5,THOMAS,Irrigated
1999,THIC,Triumph Seed Co.,TRIUMPH 520C,2363.5,59.75,THOMAS,Irrigated
1999,THIC,,TAIL,1.0,1.0,THOMAS,Irrigated
1999,THIC,Agway Inc.,ROYAL HYBRID 2373,2718.25,60.0,THOMAS,Irrigated
1999,THIC,Agway Inc.,ROYAL HYBRID 2073,2567.5,60.0,THOMAS,Irrigated
1999,THIC,Triumph Seed Co.,TRIUMPH 766CRT,2729.75,60.25,THOMAS,Irrigated
1999,THIO,Pioneer Hi-Bred Int.,63M91,2572.5,60.25,THOMAS,Irrigated
1999,THIO,Mycogen Seed,8468,2699.75,61.25,THOMAS,Irrigated
1999,THIO,Pioneer Hi-Bred Int.,63A81,2530.25,62.75,THOMAS,Irrigated
1999,THIO,Interstate Seed,ST 2126,2097.5,62.0,THOMAS,Irrigated
1999,THIO,Mycogen Seed,8488NS,2526.75,60.5,THOMAS,Irrigated
1999,THIO,Interstate Seed,IS 4049,2768.0,62.5,THOMAS,Irrigated
1999,THIO,Interstate Seed,K 41978,2821.0,61.25,THOMAS,Irrigated
1999,THIO,Interstate Seed,ST 2135,2387.25,64.0,THOMAS,Irrigated
1999,THIO,Interstate Seed,ST 971136NS,2588.75,60.75,THOMAS,Irrigated
1999,THIO,Kaystar Seed,9404,2562.25,59.5,THOMAS,Irrigated
1999,THIO,Kaystar Seed,9501,3078.25,63.0,THOMAS,Irrigated
1999,THIO,Mycogen Seed,8372,2478.5,59.25,THOMAS,Irrigated
1999,THIO,Mycogen Seed,8377NS,2604.5,59.25,THOMAS,Irrigated
1999,THIO,SEEDS 2000,BRONCO,2352.75,63.0,THOMAS,Irrigated
1999,THIO,Interstate Seed,IS 6767,2552.25,59.75,THOMAS,Irrigated
1999,THIO,Pioneer Hi-Bred Int.,6451,2570.5,61.25,THOMAS,Irrigated
1999,THIO,SEEDS 2000,MAVERICK,1973.25,59.5,THOMAS,Irrigated
1999,THIO,Triumph Seed Co.,TRIUMPH 540,2269.5,58.75,THOMAS,Irrigated
1999,THIO,Triumph Seed Co.,TRIUMPH 545,2781.0,60.0,THOMAS,Irrigated
1999,THIO,Triumph Seed Co.,TRIUMPH TRX8232,2358.25,63.5,THOMAS,Irrigated
1999,THIO,Pioneer Hi-Bred Int.,64M01,2765.25,59.5,THOMAS,Irrigated
1999,THIO,Triumph Seed Co.,TRIUMPH TRX8441NS,3129.5,62.0,THOMAS,Irrigated
1999,THIO,Interstate Seed,HYSUN 450,2289.25,62.5,THOMAS,Irrigated
1999,THIO,Cargill,SF 270,2536.5,59.0,THOMAS,Irrigated
1999,THIO,Agripro Seeds Inc.,AP 3470,2763.5,59.75,THOMAS,Irrigated
1999,THIO,Agripro Seeds Inc.,ST X2135,2568.75,64.0,THOMAS,Irrigated
1999,THIO,Cargill,SF 120,2218.0,59.25,THOMAS,Irrigated
1999,THIO,Cargill,SF 125NL,1985.5,59.25,THOMAS,Irrigated
1999,THIO,Cargill,SF 260,2495.0,60.75,THOMAS,Irrigated
1999,THIO,Cargill,SF 290NL,2730.25,60.75,THOMAS,Irrigated
1999,THIO,Dekalb,DK 3790,2055.0,59.5,THOMAS,Irrigated
1999,THIO,Dekalb,DK 3806,2261.5,59.75,THOMAS,Irrigated
1999,THIO,Dekalb,DK 3868,2203.5,60.0,THOMAS,Irrigated
1999,THIO,Dekalb,DK 3872NS,2560.75,62.75,THOMAS,Irrigated
1999,THIO,Dekalb,DK 3875,2482.25,61.0,THOMAS,Irrigated
1999,THIO,Dekalb,DK 3881,2853.25,61.0,THOMAS,Irrigated
1999,THIO,Dekalb,DK 3900,2719.75,62.5,THOMAS,Irrigated
1999,THIO,Interstate Seed,HYSUN 449,2732.5,61.25,THOMAS,Irrigated
1999,THIO,Cargill,SF 187,2956.75,61.25,THOMAS,Irrigated
1999,THIO,Agripro Seeds Inc.,AP 3430,2366.0,60.0,THOMAS,Irrigated
1999,THIO,Triumph Seed Co.,TRIUMPH 562,2854.75,60.75,THOMAS,Irrigated
2000,HVDO,Dekalb,DK 3900,1733.5,57.5,HARVEY,Dryland
2000,HVDO,Dekalb,DK 3881,1757.5,57.5,HARVEY,Dryland
2000,HVDO,Pioneer Hi-Bred ,63M91,1700.25,54.75,HARVEY,Dryland
2000,HVDO,Pioneer Hi-Bred ,63M80,1451.75,55.0,HARVEY,Dryland
2000,HVDO,Pioneer Hi-Bred ,63A70,1612.25,51.5,HARVEY,Dryland
2000,HVDO,Mycogen Seed,Cavalry,1532.25,56.75,HARVEY,Dryland
2000,HVDO,Mycogen Seed,8488NS,1931.0,55.7,HARVEY,Dryland
2000,HVDO,Kaystar Seed,9404,1752.5,54.5,HARVEY,Dryland
2000,RNDO,Dekalb,DK 3872NS,1125.66,55.0,RENO,Dryland
2000,RNDO,Interstate Seed,IS 4049,1749.24,56.5,RENO,Dryland
2000,RNDO,Interstate Seed,X 74066,1268.23,58.5,RENO,Dryland
2000,RNDO,Triumph Seed Co.,652,2015.62,54.5,RENO,Dryland
2000,RNDO,Triumph Seed Co.,562,1713.38,53.25,RENO,Dryland
2000,RNDO,Triumph Seed Co.,545A,1418.65,52.25,RENO,Dryland
2000,RNDO,Pioneer Hi-Bred I,63M91,2203.64,53.25,RENO,Dryland
2000,RNDO,Pioneer Hi-Bred I,63M80,2009.03,52.25,RENO,Dryland
2000,RNDO,Pioneer Hi-Bred I,63A81,1052.44,55.75,RENO,Dryland
2000,RNDO,Pioneer Hi-Bred I,63A70,1630.31,51.5,RENO,Dryland
2000,RNDO,Mycogen Seed,Cavalry,1380.45,55.25,RENO,Dryland
2000,RNDO,Mycogen Seed,8488NS,1875.1,53.5,RENO,Dryland
2000,RNDO,Dekalb,DK 3900,1980.46,55.0,RENO,Dryland
2000,RNDO,Interstate Seed,X 74091,1766.41,54.75,RENO,Dryland
2000,RNDO,Interstate Seed,HYSUN 450,1507.05,56.75,RENO,Dryland
2000,RNDO,Interstate Seed,IS V15045,1305.47,56.75,RENO,Dryland
2000,RNDO,Interstate Seed,IS 84021,1472.87,56.25,RENO,Dryland
2000,RNDO,Interstate Seed,IS 6767,2295.75,52.5,RENO,Dryland
2000,RNDO,Interstate Seed,IS 4340,829.45,58.25,RENO,Dryland
2000,RNDO,Kaystar Seed,9404,2011.06,52.5,RENO,Dryland
2000,RPDO,Triumph Seed Co.,652,2301.25,62.75,REPUBLIC,Dryland
2000,RPDO,Interstate Seed,X 74091,1877.75,61.5,REPUBLIC,Dryland
2000,RPDO,Interstate Seed,IS 4340,1976.25,61.0,REPUBLIC,Dryland
2000,RPDO,Interstate Seed,IS 6767,1403.5,60.25,REPUBLIC,Dryland
2000,RPDO,Interstate Seed,IS 84021,1284.25,60.0,REPUBLIC,Dryland
2000,RPDO,Interstate Seed,IS 971136 NS,1799.75,57.0,REPUBLIC,Dryland
2000,RPDO,Interstate Seed,X 33204,1304.25,60.25,REPUBLIC,Dryland
2000,RPDO,Dekalb,DK 3900,1760.25,61.75,REPUBLIC,Dryland
2000,RPDO,Interstate Seed,X 74066,1735.0,62.75,REPUBLIC,Dryland
2000,RPDO,Triumph Seed Co.,562,1689.0,61.75,REPUBLIC,Dryland
2000,RPDO,Kaystar Seed,9501,1983.0,60.0,REPUBLIC,Dryland
2000,RPDO,Interstate Seed,IS 4049,2163.75,58.25,REPUBLIC,Dryland
2000,RPDO,Mycogen Seed,Cavalry,1767.25,57.75,REPUBLIC,Dryland
2000,RPDO,Pioneer Hi-Bred I,63A70,1396.0,57.5,REPUBLIC,Dryland
2000,RPDO,Pioneer Hi-Bred I,63A81,1289.0,59.0,REPUBLIC,Dryland
2000,RPDO,Pioneer Hi-Bred I,63M91,1535.25,57.5,REPUBLIC,Dryland
2000,RPDO,Pioneer Hi-Bred I,64M01,1239.25,59.5,REPUBLIC,Dryland
2000,RPDO,Triumph Seed Co.,545A,1809.0,58.75,REPUBLIC,Dryland
2000,RPDO,Interstate Seed,IS V15045,1657.5,60.75,REPUBLIC,Dryland
2000,RPDO,Dekalb,DK 3881,1311.25,60.75,REPUBLIC,Dryland
2000,RPDO,Interstate Seed,HYSUN 450,1324.75,61.25,REPUBLIC,Dryland
2000,RPDO,Mycogen Seed,8488NS,1661.25,62.75,REPUBLIC,Dryland
2000,SUDO,Pioneer Hi-Bred I,63M80,241.42,58.0,SUMNER,Dryland
2000,SUDO,Pioneer Hi-Bred I,63M91,235.57,56.5,SUMNER,Dryland
2000,SUDO,Pioneer Hi-Bred I,63A70,174.32,57.0,SUMNER,Dryland
2000,SUDO,Mycogen Seed,Cavalry,185.42,57.5,SUMNER,Dryland
2000,SUDO,Mycogen Seed,8488NS,161.03,56.5,SUMNER,Dryland
2000,SUDO,Kaystar Seed,9501,205.07,57.5,SUMNER,Dryland
2000,SUDO,Kaystar Seed,9404,156.52,56.75,SUMNER,Dryland
2000,SUDO,Dekalb,DK 3900,256.9,57.875,SUMNER,Dryland
2000,THDC,Triumph Seed Co.,766CRT,1833.86,63.75,THOMAS,Dryland
2000,THDC,Agway Inc.,RH EXP001,1473.3,63.5,THOMAS,Dryland
2000,THDC,Interstate seed,IS8048,2055.1,65.25,THOMAS,Dryland
2000,THDC,Seeds 2000,X3247,2062.18,64.75,THOMAS,Dryland
2000,THDC,Seeds 2000,X3988,1486.6,64.25,THOMAS,Dryland
2000,THDC,Red River Commodities,2213,1742.11,64.0,THOMAS,Dryland
2000,THDC,Red River Commodities,2582,1742.02,63.75,THOMAS,Dryland
2000,THDC,Triumph Seed Co.,765C,1244.44,65.0,THOMAS,Dryland
2000,THDC,Triumph Seed Co.,TRX0451 CRT,1271.69,63.5,THOMAS,Dryland
2000,THDC,Triumph Seed Co.,TRX0453 CRT,1310.66,64.0,THOMAS,Dryland
2000,THDC,Red River Commodities,2413,1435.04,63.75,THOMAS,Dryland
2000,THDO,Cargill,SF 125NL,1129.15,63.0,THOMAS,Dryland
2000,THDO,Cargill,SF 187,1330.96,63.75,THOMAS,Dryland
2000,THDO,Cargill,SF 260,1422.24,63.75,THOMAS,Dryland
2000,THDO,Cargill,SF 290NL,1019.11,64.0,THOMAS,Dryland
2000,THDO,Cargill,SF 270,1720.93,62.25,THOMAS,Dryland
2000,THDO,Pioneer Hi-Bred I,63A70,1337.91,61.75,THOMAS,Dryland
